Usuario,No. Tarjeta,Transaccion
0,0,0
RobertoSanchez,198763,1000
JeremyCaldwell,789563,-400
RobertoSanchez,198763,30000
LebronJames,983647,-50000
JeremyCaldwell,789563,3000
RobertoSanchez,198763,-10000
RobertoSanchez,198763,700.00
RobertoSanchez,198763,900.40
LebronJames,983647,1000000
RobertoSanchez,198763,49393.00
RobertoSanchez,198763,100.00
RobertoSanchez,198763,400.000
RobertoSanchez,198763,500.000
RobertoSanchez,198763,400.000
RobertoSanchez,198763,18272.578
RobertoSanchez,198763,-10000.000
RobertoSanchez,198763,1200.00
RobertoSanchez,198763,-10000.000
RobertoSanchez,198763,1000.00
RobertoSanchez,198763,4000.500
RobertoSanchez,198763,-5039.500
RobertoSanchez,198763,200.000
Robert,873783,500.00
